港澳台1,#genre#
东森美洲卫视[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
TW台视新闻[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
TVBS新闻[1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
台视新闻[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻[1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
东森超视34.5[720*528],http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
台视新闻[1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
华语电视2[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
民视新闻[1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
华语电视3[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
唯心[854*480],http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
CHC高清电影[1920*1080],http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
香港佛陀[1280*720],https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
服装时尚[1920*1080],http://player2.juyun.tv/camera/80238159.m3u8
CGTN Documentary[1024*576],https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN-法语[1024*576][1024*576],http://livefr.cgtn.com/1000f/prog_index.m3u8?blog.ntnas.top
CGTN阿拉伯语[1024*576],http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN-西班牙语[1024*576][1024*576],http://livees.cgtn.com/500e/prog_index.m3u8?blog.ntnas.top
CGTN Русский[1024*576],http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
赛马直击[1280*720],http://gslb.cdn.hk.chinamobile.com/live/d2afb43f61464fc5a3d3b1b0a4c187a1/11a674a3cca94ceaafab4bd0e2ae634c-2.m3u8
CGTN俄语[1024*576],https://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
大爱1台[1280*720][1280*720],https://pulltv2.wanfudaluye.com/live/tv1.m3u8
CGTN西语[1024*576],https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
东森电影[1280*720],http://162.19.247.76:22222/live/dsdyt/index.m3u8
天映经典[1280*720],http://162.19.247.76:22222/live/tyjd/index.m3u8
香港台[1280*720],http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8
凤凰卫视[1280*720][1280*720],http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
中天亚洲[1280*720],http://162.19.247.76:22222/live/ztyz/index.m3u8
凤凰资讯[1280*720],http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
中天娱乐台[1280x720][1280*720],http://162.19.247.76:22222/live/ztyl/index.m3u8
CGTN法语[1024*576],https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
东森洋片[1280*720],http://162.19.247.76:22222/live/dsypt/index.m3u8
法国时尚[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
靖宇综合[1600*900],http://stream8.jlntv.cn/jytv/sd/live.m3u8
法国时尚[800*453],http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
韩国EBS第二频道[640*360],http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
香港佛陀[1280*720],http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
佛教频道1[960*540],https://live.ciguang.tv/live/hdtv.m3u8?auth_key=5216465889-0-0-701a98b03302233fc07fa2ee9e85d39b
东森电影[1920*1080][1920*1080],http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
东森戏剧[1920*1080][1920*1080],http://50.7.238.114:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
公视 CTV[1280x720][1280*720],http://198.16.100.90:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
三立戏剧[1280x720][1280*720],http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
三立戏剧台[1280x720][1280*720],http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8?tid=MC3C7351075373510753&ct=19249&tsum=f70fc544635e38b2fd7b4bb39899df0e
卫视中文台[1920x1080][1920*1080],http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8?tid=MB7B8325601583256015&ct=19249&tsum=88f84634240050b869fbbe8cfeb43cc7
八大第一[1920x1080][1920*1080],http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
欧洲华文6台[1920*1080],http://vvlive.eztv.vip/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
非凡新闻[1920x1080][1920*1080],http://198.16.100.90:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
非凡新闻台[1920x1080][1920*1080],http://50.7.238.114:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
八大戏剧[1920x1080][1920*1080],http://50.7.238.114:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
八大第一[1920x1080][1920*1080],http://50.7.238.114:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
三立综合[1280x720][1280*720],http://50.7.238.114:8278/sanlizhonghe/playlist.m3u8?tid=MF4F9472920894729208&ct=19249&tsum=874aaa2015440b417746e5c11fa40220
RTHK32[432*243],https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
民视 HD[1920x1080][1920*1080],http://50.7.238.114:8278/ftvhd_taiwan/playlist.m3u8?tid=MC8C5908644059086440&ct=19249&tsum=c96d2cd48b11d40ca9e97fb3addb1384
长城精品[1280*720],http://38.64.72.148:80/hls/modn/list/4008/chunklist1.m3u8
TVBS新闻[1920*1080],http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新闻台[1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS亚洲[1920*1080],http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
民视新闻[1920x1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻[1920x1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
长城精品[1920*1080],http://38.64.72.148/hls/modn/list/4008/chunklist0.m3u8
TVBS新闻[1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
香港卫视[1024*576],http://anren.live/HK/BSJDUFpB.m3u8
漫威影片[1920*1080],http://epg.112114.xyz/douyu/6140589
生命電視台[1920*1080],http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
大爱2[1280*720],http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛1[1280*720],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
凤凰中文[1280*720],http://r.jdshipin.com/cCCzW
NHK World Japan[1280*720],http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
耀才财经[1024*576],https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
大爱2台[1280*720],https://pulltv1.wanfudaluye.com/live/tv2.m3u8
GS My Shop (1080p)[1280*720],https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
动物星球[1280*720],http://208.115.225.174:14192
HBO[1280*720],http://208.115.225.174:14160
RTHK32[1920*1080],https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK[432*243],http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
莲花卫视[1920*1080],http://107.151.203.111:2209/135/hk.php?id=amlh
民视[1280*720],https://epg.pw/stream/759890ecf3c5ede3ae68c067607458a7b94737e14a330f2931b1d43d329dc777.m3u8
东森戏剧[1280*720][1280*720],http://162.19.247.76:22222/live/dsxj/index.m3u8
无线新闻[1280*720],https://epg.pw/stream/8a901f8dbc93b286fc53ceceda0a7198f41dfd91a2ca2a528e314aea87eb806b.m3u8
东森新闻[1280*720],https://epg.pw/stream/9787fc554f1f1386e7741a9967b3bf15740a19429fa12aa5760a266316b7f0ce.m3u8
八大綜合[1280*720],https://epg.pw/stream/c1a69db8adc96d2b33127cfcc5f75540f4a008cae6592bd43b03898adee5f9c0.m3u8
J2[1280*720],https://epg.pw/stream/78de2825f146c5b465f83bff1408375faec5a29181fdce2b05bbaeb8d4dce6aa.m3u8
八大綜合[1280*720],https://epg.pw/stream/7111b5f26e0b39a6562929087146d77de127e340697c94d9a8fa9e70934f6ed1.m3u8
俄罗斯中文[1920*1080],http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
RTHK32[1280*720],https://epg.pw/stream/1aeac95c61b1448a7d796cd84464cab853203cc03974537fb2eadb538a6cb447.m3u8
番薯电视[1280*720],https://epg.pw/stream/29719a881fa98edec1c00d1b5717064d4d3e8d27450ecf47ddf2cd1cd0970ab7.m3u8
三立台湾[1280*720],https://epg.pw/stream/bfb4f28ad7b1bc3e20703b9f35b51104a59eca154ec67643bf9d30a8af4b607a.m3u8
三立綜合[1280*720],https://epg.pw/stream/2ae8ba664e18a15acef81d53edb6f594d9966d599d6a3f4e575718094b9cc14a.m3u8
东森财经[1280*720],https://epg.pw/stream/b63e2d95c2b56cb909e04f9639d8da0cef29a29061078ad5e4407af8c8b176cf.m3u8
RTHK31[1280*720],https://epg.pw/stream/1a38a47797fd592a585a9279c9d72fb4d6d88298c349a4162c95f2bad36bc746.m3u8
民视[1280*720],https://epg.pw/stream/baafe5a3235e0e97c37e17d405ffa3ad861a00b98244d56cabea72b1fa72bfb3.m3u8
东森洋片[1280*720],https://epg.pw/stream/b31a4aef65cf79aeb593a2b6ebda2923554b12d4a8548eb1edde0821deea70a6.m3u8
中视[1280*720],https://epg.pw/stream/4868f3c2ae2971b2e2280606399ac8827b7310440a7e34de3fbc9ebfbe669b15.m3u8
八大綜合[1280*720],https://epg.pw/stream/03b1d042fe7c30aa1e7088db5fee0ccdebb2cd01f75ea075a32a40a6d00ecd43.m3u8
东森美洲[1280*720],https://epg.pw/stream/6c39ab3028c59342214ff47b2f79d643390e281638f08abb03e29305fe206a8f.m3u8
翡翠台[1280*720],https://epg.pw/stream/d060c5d1cc0bf154a0b238e05247a360582c95d53a959d4a85e46c4ea2f117b1.m3u8
东风37[1280*720],https://epg.pw/stream/5ea1bdb3302117611f2a3a33f51d04aef8232d4a636f6ee76b7abbc05136c2d2.m3u8
公视[1280*720],https://epg.pw/stream/173fa03f4310f5ed33b0f654ee8ae821bd1403a887792c7a40f8fd7399783b45.m3u8
RTHK32[1280*720],https://epg.pw/stream/2e1526fba7aa462437870a9b3838b89f0f9028be78b5d0ca8806c92277ae5427.m3u8
八大綜合[1280*720],https://epg.pw/stream/e4e999847989ab2612e8b2389bd6b0cd9328154e41f26e2a5cd7a3955f64073b.m3u8
环宇新闻台[1280*720],https://epg.pw/stream/35bd37d8946955881c3366e419f0e8f985b2ef41f4c5f8ef2566ea7f42320db5.m3u8
靖天国际台[1280*720],https://epg.pw/stream/d2a085f2b845cd1bae8a3c21115cd40fabc896a21e3129da1237459eccb37961.m3u8
民视[1280*720],https://epg.pw/stream/f7d0155f8e91c0df13648fa372d64f90bf1b15643b563dfee3080756c1e77ad1.m3u8
RTHK32[853*480],https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
面包[1280*720],https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
三立戏剧台[1280x720][1280*720],http://50.7.238.114:8278/sanlixiju_twn/playlist.m3u8?tid=MC3C7351075373510753&ct=19249&tsum=f70fc544635e38b2fd7b4bb39899df0e
八大第一GTVFirst[1920x1080][1920*1080],http://50.7.238.114:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
全天新聞[854*480],https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
美亚电影台[1280x720][1280*720],http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
动物星球1[1920x1080][1920*1080],http://198.16.100.90:8278/animalplanet_twn/playlist.m3u8?tid=MF4F9191603991916039&ct=19254&tsum=8eeac3e9b8c5f58ad74a17b9b4813ed1
三立戏剧[1280*720],http://50.7.238.114:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
ANTV[1047*576],http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
自然地理[896*672],http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_81_600_t10/c52_lb_81_600_t10.m3u8?key
TVS Classic Sports[640*360],http://rpn1.bozztv.com/36bay2/gusa-tvs/index.m3u8
美国中文电视[1280*720],https://jpts.sinovision.net/livestream.m3u8
香港卫视文旅[1920*1080],http://hls.ye23.vip/dl/hks6tv.php
动物世界[1280*720],http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/2eba7ee3659b4caf86b40d51a1752d6c/1200.m3u8
凤凰资讯[1280*720],http://r.jdshipin.com/0Rp07
Red Bull TV HD[1280*720],https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8?denmstv.m3u8
France 24 English[1280*720][1920*1080],http://sc2022.stream-link.org/tv2306.php?id=e11
东森美洲[1280*720],https://epg.pw/stream/10dcfb45b0ddd79ac6702607b66cfa90a712386f27466569bca9d193bf835b95.m3u8
八大戏剧[1920x1080][1920*1080],http://50.7.238.114:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
世新綜合[1280*720],http://61.58.60.230:9319/live/49.m3u8
TVBS欢乐台[1920x1080][1920*1080],http://50.7.238.114:8278/tvbshuanle_twn/playlist.m3u8?ct=19193&tid=MC8C2318787923187879&tsum=394d2b9af3df7846e2cdc60d69dd4219
翡翠台[1280*720],https://epg.pw/stream/262189ae99c1e06cd28c91958a372159ce25150e10daf805237dbcbe72f95e9d.m3u8
翡翠台[1280*720],https://epg.pw/stream/32e4ae9af65495464449144f8ac46bb0c384b67e3252e757547402d54fb08dc1.m3u8
中天新闻[1280*720],http://v4.la.zxkj.hz.cz/youtube.php?id=oIgbl7t0S_w
东森新闻[1280*720],https://epg.pw/stream/7872a236f1393aa913844a130912aa8891f4bbf96841157ed4605778bc0bc62f.m3u8
Now TV[1280*720],https://epg.pw/stream/3520ee60307e71d6d4bc350b1a903a65f3843c1e622187e0ef997e3de43454d1.m3u8
港台電視32[640*360],https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream3/streamPlaylist.m3u8
法国时尚[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
Fox Live[1280*720][1280*720],http://sc2022.stream-link.org/tv2306.php?id=e10
TVBS亞洲[1920*1080],http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
八大戏剧GTVDrama[1920x1080][1920*1080],http://198.16.100.90:8278/badadrama/playlist.m3u8?tid=MBCB2433143824331438&ct=19254&tsum=51660c351b3991d81434e43bd1ab720e
DW News[1280*720][1920*1080],http://sc2022.stream-link.org/tv2306.php?id=e08
半岛新闻[1920*1080],https://live-hls-web-aje.getaj.net/AJE/01.m3u8
八大综合台[1920x1080][1920*1080],http://50.7.238.114:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
TVBS欢乐台(备份)[1920x1080][1920*1080],http://198.16.100.90:8278/tvbshuanle_twn/playlist.m3u8?tid=MA5A9262292692622926&ct=19254&tsum=cd369d68a5d2c1a2fa04df748cda142c
东森新闻[1920x1080][1920*1080],http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=MC4C3328955833289558&ct=19249&tsum=d68431432600bbf503d95f629f3acc11
八大第一GTVFirst[1920x1080][1920*1080],http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
民视[1280*720],https://epg.pw/stream/65eb757ff8662a57dd30151116cc63596b1a52fd070c65ff0c7aa2fef1876b73.m3u8
港台電視31[640*360],https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream3/streamPlaylist.m3u8
香港卫视文旅[1920*1080],http://107.151.203.111:2209/135/hk.php?id=hk6
半島電視台[1280*720],http://live-hls-web-aja.getaj.net/AJA/02.m3u8
CNN[1280*720],https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8?blog.ntnas.top
TVBS欢乐台[1280*720],https://epg.pw/stream/2bfd3b14e0a59e99d885cbf7684486408a5ea370fa39efd69b7eda0dd1aa4275.m3u8
群馬電視臺[1280*720],https://movie.mcas.jp/switcher/smil:mcas8.smil/chunklist_b1800000.m3u8
NHK World[1280*720][1280*720],https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
公视[1280*720],https://epg.pw/stream/51977474cd7548fefa029e9ec4ca7c2271df8eb664ef20c8a8f0a5d97e04bea1.m3u8
东森洋片[1920*1080][1920*1080],http://50.7.238.114:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
三立综合[1280x720][1280*720],http://198.16.100.90:8278/sanlizhonghe/playlist.m3u8?tid=MF4F9472920894729208&ct=19249&tsum=874aaa2015440b417746e5c11fa40220
DiscoveryAsia[1280x720][1280*720],http://50.7.238.114:8278/discoverytwn_twn/playlist.m3u8?tid=MB1B4014431840144318&ct=19254&tsum=a72e8caa6986ef92c4d6cb743e22a78f
Sexy K-Pop[1280*720],https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8
半島新聞台[1920*1080],http://live-hls-web-aje.getaj.net/AJE/01.m3u8
民视台湾台[1920x1080][1920*1080],http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MEFE5254515252545152&ct=19249&tsum=c17f872b1772df8f76032030cc40bdbd
DiscoveryTurbo[1280x720][1280*720],http://198.16.100.90:8278/discoveryturbo_twn/playlist.m3u8?tid=MA4A9062409890624098&ct=19254&tsum=a08aaae68298f6df5540cb41f9d7fdd5
三立台湾[1920x1080][1920*1080],http://50.7.238.114:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
CNN Live[1280*720][1280*720],http://sc2022.stream-link.org/tv2306.php?id=e07
中天新闻2[1280*720],http://v4.la.zxkj.hz.cz/youtube.php?id=WPfPjbOLNfE
中视 HD[1280x720][1280*720],http://50.7.238.114:8278/zhongshihd_twn/playlist.m3u8?tid=MBDB6720263767202637&ct=19249&tsum=edd778f298b53c39b3b9706700032605
Discovery频道[1920x1080][1920*1080],http://50.7.238.114:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
RTHK32[1280*720],https://epg.pw/stream/2949209a6405553d935a2f7f9570163ab15e45044f8e6df5e8ce91caaf1010a1.m3u8
翡翠台[1280*720],https://epg.pw/stream/d8c93b48b91c1ebf0dba342a788c771416122535649aa71f70dced7b8917817f.m3u8


央视频道,#genre#
CCTV1,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV3,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.20.40.167/PLTV/88888893/224/3221226397/index.m3u8
